Key,Type,Desc,Chinese (PRC),English,Chinese (Traditional),Japanese
end/a1,Text,," Kio
【这样。。。。。。】"," Kio
【Is it..?】",,
end/a2,Text,," Kio
【这样就结束了吗。。。】"," Kio
【Is it the end..?】",,
end/a3,Text,," Kio
【我现在是在哪。。】"," Kio
【Where am I now..?】",,
end/a4,Text,," Kio
【我是。。。逃出了这个游戏吗？】"," Kio
【Have I left the game?】",,
end/a5,Text,," ？？？
【并没有。】"," ？？？
【No.】",,
end/a6,Text,," Kio
【是谁！？】"," Kio
【Who's there!?】",,
end/a7,Text,," ？？？
【你不用管我是谁。】"," ？？？
【Not your business.】",,
end/a8,Text,," ？？？
【我只是一个安排在结局处陪你说话的一个旁白。】"," ？？？
【I am just a voice that talk to you at the ending.】",,
end/a9,Text,," Kio
【。。。。。。】"," Kio
【.....】",,
end/a10,Text,," Kio
【所以说，我并没有逃离这个游戏对吧。】"," Kio
【Well, you just said that I haven't left the game.】",,
end/a11,Text,," ？？？
【\0.3对\0.3的\0.3。】"," ？？？
【Yes.】",,
end/a12,Text,," Kio
【沿路一直说可以从BUG里离开是骗人的吧。】"," Kio
【Did everyone lie to me that a bug can help me leave?】",,
end/a13,Text,," ？？？
【\0.3对\0.3的\0.3。】"," ？？？
【Yes.】",,
end/a14,Text,," Kio
【其实全部都是安排好的对吧。】"," Kio
【Everything was arranged?】",,
end/a15,Text,," ？？？
【\0.3嗯\0.3，\0.3对\0.3的\0.3。】"," ？？？
【Yes.】",,
end/a16,Text,," Kio
【就算重新读档我也无法救回我两个朋友对吧。】"," Kio
【I cannot save my friends even if I load the game.】",,
end/a17,Text,," ？？？
【\0.3对\0.3的\0.3。】"," ？？？
【Right.】",,
end/a18,Text,," Kio
【也就是其实无论我做什么也改变不了命运对吧。】"," Kio
【That means I can't change my destiny whatever I do.】",,
end/a19,Text,," ？？？
【\0.3。\0.3。\0.3。\0.3。\0.3嗯\0.3。】"," ？？？
【....Yes.】",,
end/a20,Text,," ？？？
【因为你就是一个游戏人物，你所发生的事情都是安排好的。】"," ？？？
【Because you are a character in the game. Your fate was arranged.】",,
end/a21,Text,," ？？？
【你救不了你的朋友。】"," ？？？
【You can't save your friends.】",,
end/a22,Text,," ？？？
【更不可能离开这个游戏。】"," ？？？
【Also you can't leave the game.】",,
end/a23,Text,," Kio
【\0.3。\0.3。\0.3。\0.3。\0.3。\0.3。】"," Kio
【...........】",,
end/a24,Text,," Kio
【为什么\0.3。\0.3。\0.3。】"," Kio
【Why....】",,
end/a25,Text,," Kio
【为什么。。。。。】"," Kio
【Why!!!】",,
end/a26,Text,," Kio
【为什么我要活在这样的游戏里。】"," Kio
【Why do I have to live in this game.】",,
end/a27,Text,," Kio
【为什么我不能活在一个美好的游戏里。】"," Kio
【Why can't I live in a beautiful game!?】",,
end/a28,Text,," Kio
【为什么我这个游戏那么可怕。】"," Kio
【Why my game is horrible?】",,
end/a29,Text,," Kio
【不公平。。。】"," Kio
【Unfair...】",,
end/a30,Text,," Kio
【不公平。。。。。】"," Kio
【Unfair!!!!】",,
end/a31,Text,," Kio
【不公平啊！！！！！】"," Kio
【Definitely UNFAIR!!!】",,
end/a32,Text,," Kio
【呜呜呜呜呜呜！！！！！】"," Kio
【Woooooo!!】",,
end/a33,Text,," Kio
【我到底做错了什么！！！！！】"," Kio
【What did I do bad!!?】",,
end/a34,Text,," Kio
【我到底做错了什么啊啊！！！】"," Kio
【What did I do wrong!!?】",,
end/a35,Text,," ？？？
【你并没有做错什么。】"," ？？？
【You didn't do anything wrong.】",,
end/a36,Text,," ？？？
【只不过刚好是你而已。】"," ？？？
【It's just you.】",,
end/a37,Text,," Kio
【我不要啊！呜呜呜呜呜呜！！】"," Kio
【I don't want this!! Woooo!】",,
end/a38,Text,," Kio
【有没有其他办法！你能帮帮我吗？】"," Kio
【Can you help me!?】",,
end/a39,Text,," ？？？
【你想我怎么帮你？】"," ？？？
【What do you want?】",,
end/a40,Text,," Kio
【我想最后见见我两位朋友。】"," Kio
【At last I wish to see my two friends again.】",,
end/a41,Text,," ？？？
【\0.3。\0.3。\0.3。\0.3。】"," ？？？
【........】",,
end/a42,Text,," Kio
【可以吗？】"," Kio
【May I?】",,
end/a43,Text,," ？？？
【你会失望的。】"," ？？？
【You will be dispointed.】",,
end/a44,Text,," Kio
【怎样也好，你答应我吧！】"," Kio
【Anyhow, please!】",,
end/a45,Text,," ？？？
【\0.3。\0.3。\0.3。】"," ？？？
【.....】",,
end/a46,Text,," ？？？
【好的。】"," ？？？
【OK.】",,
end/a47,Text,," Illusion
【Kio。】"," Illusion
【Kio.】",,
end/a48,Text,," Kio
【！！！】"," Kio
【!!!!】",,
end/a49,Text,," 多明妮
【嘿。】"," Domini
【Hey.】",,
end/a50,Text,," Kio
【！！！】"," Kio
【!!!!】",,
end/a51,Text,," Kio
【哇！！！！！】"," Kio
【Wa!!!】",,
end/a52,Text,," Kio
【哇！！！！！！！！！！！！！！！！！！！！】"," Kio
【Waaaaa!!!!】",,
end/a53,Text,," Kio
【能再见到你们实在是太好了！】"," Kio
【It's great to meet you two again!!】",,
end/a54,Text,," Kio
【！！？！？！】"," Kio
【!!!??】",,
end/a55,Text,," Kio
【你们。。。】"," Kio
【You...】",,
end/a56,Text,," Kio
【你们怎。。。怎么了！？】"," Kio
【What happened to you two!?】",,
end/a57,Text,," ？？？
【嗯。。这样的。】"," ？？？
【Well.】",,
end/a58,Text,," ？？？
【因为游戏并没有制作她们走路的动作。】"," ？？？
【Because we don't make the walking animation for them.】",,
end/a59,Text,," Kio
【。。。。】"," Kio
【......】",,
end/a61,Text,," Kio
【无所谓了。。】"," Kio
【It doesn't matter...】",,
end/a62,Text,," Kio
【已经无所谓了。。能见面我已经很开心了。】"," Kio
【I am glad enough that meet them again.】",,
end/a63,Text,," ？？？
【那，游戏也快结束了。】"," ？？？
【Well, this game is almost over.】",,
end/a64,Text,," ？？？
【还有什么想说的吗？】"," ？？？
【Anything else do you want?】",,
end/a65,Text,," Kio
【没什么了。。】"," Kio
【No more...】",,
end/a66,Text,," ？？？
【那好吧。】"," ？？？
【Ok.】",,
end/a67,Text,," ？？？
【感谢各位玩家的支持。】"," ？？？
【Thank you for playing.】",,
end/a68,Text,," ？？？
【有机会再见。】"," ？？？
【I hope we can meet each other in a short future.】",,
end/a69,Text,," ？？？
【拜拜～】"," ？？？
【Bye Bye.】",,
menus/hidden 0,Text,,发现了隐藏房间（,Find a hidden room(,,
menus/hidden 1,Text,,）,),,
i00/a0,Text,," Kio
【这里是什么地方】"," Kio
【Where am I?】",,
i00/a2,Text,," 隐藏阿叔
【欢迎来到精液乐园～】"," Uncle
【Welcome to sperm garden.】",,
i00/a3,Text,," 隐藏阿叔
【地上白色的都是精液哦～】"," Uncle
【The white thing on the ground is sperm.】",,
i00/a4,Text,," Kio
【。\0.5。\0.5。\0.5。\0.5。\0.5。】"," Kio
【........】",,
i02/a,Text,," 杀生地藏
【为了艺术，为了人类的梦想和希望。】"," 杀生地藏
【For arts. For human dream and hope.】",,
i02/b,Text,," 老司机
【呵呵呵23333333333】"," 老司机
【Ah ah ah ha ha ha...】",,
i02/c0,Text,," Fiodo
【要爱护丁丁哟】"," Fiodo
【Protect dixk.】",,
i02/c1,Text,," Fiodo
【我是爱与正义的futa喵小么！】"," Fiodo
【I am a justic Futa with love!】",,
i02/c2,Text,," Fiodo
【爱生活爱vv】"," Fiodo
【I love my live and vv.】",,
i02/c3,Text,," Fiodo
【futa兽软软哒～】"," Fiodo
【Futa is soft..】",,
i02/c4,Text,," Fiodo
【我的魔法大棒已经饥渴难耐了！】"," Fiodo
【My magic dixk can not wait any more!】",,
i02/c5,Text,," Fiodo
【喵喵喵～别给我穿衣服啦！】"," Fiodo
【Don't give me any clothes to wear!】",,
i02/c6,Text,," Fiodo
【别点我啦～喵】"," Fiodo
【Don't tap me!】",,
i02/c7,Text,," Fiodo
【还想听我说什么嘛！】"," Fiodo
【Anything else want from me?】",,
i02/c8,Text,," Fiodo
【好吧！再告诉你一下老司机和鱼总都是大变态！】"," Fiodo
【Great! Nothing!】",,
i02/c9,Text,," Fiodo
【再点就没收你的丁丁变成futa兽哦！】"," Fiodo
【I am talking bullshit...】",,
i02/d,Text,," 萌尽
【记得做每天50发撸的练习哦！】"," 萌尽
【I'd like to play 50 times of H-game everyday.】",,
i02/e,Text,," 氓牛
【大家好，我是氓牛。】"," 氓牛
【Hello guys.】",,
i02/f,Text,," 面具子
【我做的作品是纯正的格斗。】"," 面具子
【My work is pure fighting.】",,
i02/g,Text,," 风魔无下限
【来，到蜀黍怀里动。】"," 风魔无下限
【Give me a hug baby.】",,
i02/h0,Text,," Mvv
【我是打工中的妹抖薇薇安！】"," Mvv
【Hello I am mvv!】",,
i02/h1,Text,," Mvv
【其实穿女仆装只是个人兴趣。】"," Mvv
【My interest is wearing like a maid.】",,
i02/h2,Text,," Mvv
【爱生活爱小么。】"," Mvv
【I love my live.】",,
i02/h3,Text,," Mvv
【客官，要本子吗？】"," Mvv
【Do you want an H18 book?】",,
i02/h4,Text,," Mvv
【矜持· _ ·】"," Mvv
【Ha ha · _ ·】",,
i02/h5,Text,," Mvv
【好想和小么么么哒！】"," Mvv
【I am lovely!】",,
i02/h6,Text,," Mvv
【C90想画米琳达·白兰丁尼的薄本。】"," Mvv
【I am going to draw some H18 paintings.】",,
i02/h7,Text,," Mvv
【今天稿子又没画完，但是依然露出了迷之淡定的笑容。】"," Mvv
【But I haven't begun drawing anything today.】",,
i02/h8,Text,," Mvv
【卖女儿，联系电话138********】"," Mvv
【No worries. Just smile to the editor.】",,
i02/h9,Text,," Mvv
【我跟你们讲，鱼总地下城wifi信号特别好。】"," Mvv
【Because he is an idot.】",,
i02/i,Text,," Sky freedom
【哼哼】"," Sky freedom
【He he.】",,
i02/j,Text,," 鱼总
【我是纯洁善良的水瓶座】"," 鱼总
【I am a kind and pure fish.】",,
i02/j1,Text,," 鱼总
【别逼我退群】"," 鱼总
【Please love me more.】",,
i02/j2,Text,," 鱼总
【我擅长用拘束的方式展现女性的曲线美哦~】"," 鱼总
【I am good at drawing beatiful ladies.】",,
i02/j3,Text,," 鱼总
【嗨~ 大家好 我是纯洁的鱼总】"," 鱼总
【Of course my drawing is pure as well.】",,
i02/j4,Text,," 鱼总
【人是不需要为这种事情感到羞耻的】"," 鱼总
【However I'd like to live in the river.】",,
i02/j5,Text,," 鱼总
【我可不像某渣一样不讲道义！】"," 鱼总
【In fact I am not able to talk.】",,
i02/j6,Text,," 鱼总
【大便渣！去死吧！】"," 鱼总
【Why do you try to talk to a fish?】",,
i02/j7,Text,," 鱼总
【大家好，我是新锐清纯派画师鱼总！】"," 鱼总
【Are you a fool?】",,
i02/j8,Text,," 鱼总
【一切灵感来自生活。】"," 鱼总
【Please calm down. Don't place me on a fired pan...】",,
i03/a0,Text,," 渗透之C菌
【我在做直播呢。】"," 渗透之C菌
【I am on the live at twixh.】",,
i03/a1,Text,," 渗透之C菌
【请不要干扰我好吗？】"," 渗透之C菌
【Please don't brother me.】",,
i03/a2,Text,," 渗透之C菌
【如果没事的话请你快点滚。】"," 渗透之C菌
【Leave me alone.】",,
i04/0,Text,," 孙渣
【好\0.2~\0.2~\0.2~\0.2~\0.2懒\0.2~\0.2~\0.2~\0.2~\0.2~\0.2哦\0.2~\0.2~\0.2】"," 孙渣
【I am lazy....】",,
i04/1,Text,," 孙渣
【好\0.2~\0.2~\0.2~\0.2麻\0.2~\0.2~\0.2烦\0.2~\0.2~\0.2~\0.2哦\0.2~\0.2~\0.2~\0.2】"," 孙渣
【Everything is trouble....】",,
i05/0,Text,," Stan酱
【嗨，大家好，我是Stan！】"," Stan酱
【Hello. I am stan!】",,
i05/1,Text,," Stan酱
【嗯…片子我会努力产的，感谢一路支持我！】"," Stan酱
【Thank you for supporting.】",,
i05/2,Text,," Stan酱
【如果你喜欢不上我。】"," Stan酱
【I will post my photos more than before.】",,
i05/3,Text,," Stan酱
【或者可以继续留意一下我呀。】"," Stan酱
【Please notice my Sina Weibo.】",,
i05/4,Text,," Stan酱
【说不定有一天你会喜欢我呢嘻嘻哈哈哈】"," Stan酱
【I am sure you will like me :)】",,
i05/5,Text,," Stan酱
【祝你们健康快乐！】"," Stan酱
【I wish you happy everyday.】",,
i05/6,Text,," Stan酱
【由一只屎蛋变成彩蛋的留言。】"," Stan酱
【By Stan.】",,
i05/7,Text,," Kio
【我我我是你的忠实粉丝，能给我一张签名照不？】"," Kio
【I..I am your big fan. May I have one of your photo?】",,
i05/8,Text,," Stan酱
【好的，请稍等一下。】"," Stan酱
【Of course. Here you are.】",,
i05/9,Text,," Kio
【谢谢，我会珍惜的。】"," Kio
【Thank you very much.】",,
i05/10,Text,," Stan酱
【不客气。】"," Stan酱
【You are welcome.】",,
i05/a,Text,,获得了女神的签名照,Get a photo of godness,,
i06/a0,Text,," 鳄鱼同学
【大家好，我是鳄鱼同学。】"," 鳄鱼同学
【Hello everyone.】",,
i06/a1,Text,," 鳄鱼同学
【我的微博也是叫鳄鱼同学哦！】"," 鳄鱼同学
【Please come to check out my Sina Weibo.】",,
i06/a2,Text,," 鳄鱼同学
【谢谢大家的支持！！】"," 鳄鱼同学
【Thank you!!】",,
i06/b,Text,," 半个大叔
【我好像从来都没有这么胖过。】"," 半个大叔
【I don't seem to have been so fat before.】",,
i07/0,Text,," 千岛酱
【大家好，我是千岛酱。】"," 千岛酱
【Hello, I am Qiandao.】",,
i07/1,Text,," 千岛酱
【这里是广告时间。】"," 千岛酱
【Because I was fighting outside the school.】",,
i07/2,Text,," 千岛酱
【我的微博是千千岛岛酱酱。】"," 千岛酱
【I was put in jail here.】",,
i07/3,Text,," 千岛酱
【淘宝店的店名叫做史悲。】"," 千岛酱
【However I am happy now.】",,
i07/4,Text,," 千岛酱
【谢谢大家支持。】"," 千岛酱
【The reason is that I don't have to study!! Cheers!!】",,
i08/0,Text,," 史悲
【。。。。。】"," 史悲
【....】",,
i08/1,Text,," 史悲
【恭喜你，找到这个房间。】"," 史悲
【Congratulations that you found this place.】",,
i08/2,Text,," 史悲
【真的感谢你支持这款游戏。】"," 史悲
【I am Space, producer of this game.】",,
i08/3,Text,," 史悲
【我在制作的时候经常担心。。】"," 史悲
【When I making this game I do worry.】",,
i08/4,Text,," 史悲
【到底会不会有人能坚持通关。】"," 史悲
【Worry about will anyone play this game?】",,
i08/5,Text,," 史悲
【首先担心自己这个游戏会不会很无聊。】"," 史悲
【Is it a boring game?】",,
i08/6,Text,," 史悲
【会不会很多人中途就放弃不玩下去。】"," 史悲
【Is there someone give up playing halfway?】",,
i08/7,Text,," 史悲
【那么我后面制作的功夫不就白费了？】"," 史悲
【So that they don't get to the ending.】",,
i08/8,Text,," 史悲
【但是又不想制作得太简单，所以各种犹豫。】"," 史悲
【However I don't hope my game is too simple to go throught.】",,
i08/9,Text,," 史悲
【总之就是感谢大家支持，谢谢！！！】"," 史悲
【Anyway thank you for support.】",,
i08/10,Text,," 史悲
【如果有机会的话，真的很想做下一个作品。】"," 史悲
【I hope that I can make a next version of this game if there will be any chance.】",,
i08/11,Text,," 史悲
【再见！】"," 史悲
【Goodbye buddy.】",,
i09/a0,Text,," Kio
【有帅哥。。？】"," Kio
【Wow! A handome guy!】",,
i09/a1,Text,," Light
【。。。。。。】"," Light
【........】",,
i09/a2,Text,," Kio
【头上顶着的那个是啥？】"," Kio
【What is on your head?】",,
i09/a4,Text,," Kio
【在这个充满危机的世界里还能专心玩电脑啊？】"," Kio
【Why can you focus on using computer in such a dangerous world?】",,
i09/a6,Text,," Kio
【帅哥别那么高冷。。】"," Kio
【Please don't be so cool....】",,
i09/a8,Text,," Kio
【莫非你其实是个害怕和女生说话的宅男？】"," Kio
【Do you feel shy when girls talk to you?】",,
i09/a10,Text,," Kio
【哈哈。。宅男。。哈哈哈。。。】"," Kio
【Hahaha.. You feel shy. I am sure.】",,
i09/a11,Text,," Light
【没看见我在忙么！！！！？】"," Light
【Don't you see I am busy now!?】",,
i09/a12,Text,," Kio
【。。。。。。。。】"," Kio
【......】",,
i09/a13,Text,," Light
【没见过程序员么！！！？】"," Light
【Have you met any programmer before!!?】",,
i09/a14,Text,," Kio
【程序猿！？什么生物？】"," Kio
【Pro....pro what?】",,
i09/a15,Text,," Light
【是员啊！是员！】"," Light
【Programmer!! I am a programmer!!】",,
i09/a16,Text,," Light
【这个世界是个游戏对吧？】"," Light
【This is a game. Right?】",,
i09/a17,Text,," Light
【游戏怎么来的？是程序员造的！】"," Light
【Who made the game? I did!】",,
i09/a18,Text,," Light
【这面墙是我造的！这个房间是我造的！】"," Light
【I made the wall! I made the room!】",,
i09/a19,Text,," Light
【你怎么走进来是我造的！你走多快是我造的！你说了啥话都是我造的！！】"," Light
【I made you walk! I made you talk!】",,
i09/a20,Text,," Light
【我还得坐在这里管理着你们，一个出错的话你可能就无缘无故死掉了！】"," Light
【I have to sit and watching you. Once I make any mistake you will die!】",,
i09/a21,Text,," Kio
【。。。。。我确实会无缘无故的死得不明不白。。。】"," Kio
【Well, I always die....】",,
i09/a22,Text,," Light
【要你管。。。】"," Light
【Sorry...】",,
i09/a23,Text,," Light
【不好意思情绪有点激动。。。】"," Light
【I apologize for my rudeness.】",,
i09/a24,Text,," Kio
【理解理解，是我小女生有点烦人而已。】"," Kio
【I understand that I disturb you.】",,
i09/a25,Text,," Light
【倒不是烦人，毕竟你怎么说话都是我安排的。】"," Light
【It doesn't matter.】",,
i09/a26,Text,," Light
【只是我在这里端坐了差不多一个小时了，有点饿。】"," Light
【However, as a programmer, at most time I don't have meals regularly.】",,
i09/a27,Text,," Light
【程序员就是会忙得连饭都顾不上吃了。。。。】"," Light
【And now I feel hungry.】",,
i09/a28,Text,," Kio
【。。。。。（话真多啊，怎么不留一口气暖肚）】"," Kio
【....(To much talking)】",,
i09/a29,Text,," Light
【对了你能带点东西给我吃吗？最近喜欢吃辣的。】"," Light
【Do you have any spicy food? Would you please bring some to me?】",,
i09/a30,Text,," Kio
【我考虑考虑。（话痨闭嘴）】"," Kio
【Yes I will. (Who cares?)】",,
i09/b0,Text,," Light
【带了啥东西来吃？有辣的么？】"," Light
【Do you bring some spicy food to me?】",,
i09/b1,Text,," Kio
【我找找看啊。（谁会有这种东西啊？）】"," Kio
【No. (Who has this thing?)】",,
i09/c0,Text,," Light
【哇。。这个。。。。】"," Light
【Wow... This thing...】",,
i09/c1,Text,," Light
【好吃！！！】"," Light
【Delicious!!】",,
i09/c2,Text,," Light
【第一次吃啊，这辣味道，刚刚好！！】"," Light
【It's my first time to eat this.】",,
i09/c3,Text,," Light
【嗯。。嗯。。。。停不下来！！】"," Light
【I can't stop!】",,
i09/c4,Text,," Light
【嗯！！！！！！嗯嗯嗯嗯。。。】"," Light
【Um!!!!!! Um um!!!!】",,
i09/c5,Text,," Light
【感觉舒服多了。】"," Light
【I feel good now.】",,
i09/h,Text,,获得了支配者的祝福,Get master's blessing,,
i09/d0,Text,," Kio
【头顶的东西能摘下来不？】"," Kio
【What is that on your head?】",,
i09/d1,Text,," Light
【别问我，问史悲。】"," Light
【No idea. You can ask Space.】",,
i09/d2,Text,," Kio
【屎碑？跟你刚才给我的东西有关联的？】"," Kio
【Space? Sounds like a fool.】",,
i09/d3,Text,," Light
【什么都瞒不过你。】"," Light
【You are clever.】",,
i10/a,Text,," 大宝
【会长是智障。】"," 大宝
【He is an idot.】",,
i10/b0,Text,," 会长
【现在我有两个八卦，你要听哪个？】"," 会长
【I have two stories. Which one would you like to hear?】",,
i10/b1,Text,," 会长
【我已经告诉你了。】"," 会长
【I have told you.】",,
i10/c,Text,,"A.关于吴彦祖的八卦
B.关于史悲的八卦","A.About a handsome guy
B.About Space",,
i10/b2,Text,," 会长
【原来你这么想知道关于我的八卦？？】"," 会长
【Well, That 's me.】",,
i10/b3,Text,," 会长
【我告诉你。】"," 会长
【I tell you.】",,
i10/b4,Text,," 会长
【其实史悲的梦想是操吴亦凡！】"," 会长
【Space wants to sleep with me.】",,
i11/sa0,Text,," 三口
【你好，我叫三口】"," 三口
【Hello guys.】",,
i11/sa1,Text,," 三口
【口艾口牙口畏】"," 三口
【******】",,
i11/sa2,Text,," 三口
【燃指组成员】"," 三口
【*********】",,
i11/sa3,Text,," 三口
【我的梦想是做一条咸鱼。】"," 三口
【I finish my introduction.】",,
i11/en,Text,," EN
【(  ＾-＾)Fuck you！】"," EN
【(  ＾-＾)Fuck you！】",,
i11/50,Text,," 九日五花肉
【你好，我是九日五花肉。】"," 九日五花肉
【Hey guys.】",,
i11/51,Text,," 九日五花肉
【我爱EN！！！！！！！】"," 九日五花肉
【I love EN!!】",,
i11/52,Text,," 九日五花肉
【我站在EN旁边！！！！】"," 九日五花肉
【I want to stand next to EN!!】",,
i11/54,Text,," 九日五花肉
【再见。】"," 九日五花肉
【Bye.】",,
i11/m,Text,," 啃了个鸡
【你看到了我的拨片了吗？】"," 啃了个鸡
【Have you seen my pick?】",,
i11/m0,Text,," 大梦梦
【妞儿，给爷笑一个~】"," 大梦梦
【Hi girl. Smile.】",,
i11/m1,Text,," 大梦梦
【妞儿不笑，爷笑~】"," 大梦梦
【You don't smile? I smile.】",,
i11/m2,Text,," 大梦梦
【嘻嘻嘻嘻嘻嘻嘻嘻~】"," 大梦梦
【Cheers.】",,
i11/p0,Text,," 小p
【慢着~！为什么在这里停车~！】"," 小p
【Why do you park here?】",,
i11/p1,Text,," 小p
【不对~！这里不是停车场~！】"," 小p
【No. Here is not a parking lot!】",,
i11/p2,Text,," 小P
【我才不是停车牌~！】"," 小P
【Please don't....Ah... Um...】",,
i11/x,Text,," 小坞帅
【魔法小辣鸡】"," 小坞帅
【Magic girl!】",,
i11/y,Text,," 影猫
【叼！讲呢D】"," 影猫
【Delay no more! (Cantonese)】",,
i11/y1,Text,," 影猫
【车匙代号OSR-005，经典值得信赖。】"," 影猫
【My car is good!!】",,
i11/y2,Text,," 影猫
【我爱任天堂。】"," 影猫
【I love Nintendo.】",,
i11/t0,Text,," 茶田曙迹
【喜欢牛肉！】"," 茶田曙迹
【I like beef!】",,
i11/t1,Text,," 茶田曙迹
【想吃牛肉。。。】"," 茶田曙迹
【I want beef...】",,
i11/pe,Text,," penn
【希望最近可以好运些。】"," penn
【I wish I have a good luck.】",,
i11/j0,Text,," Jor
【我在等一个叫Kio的人。】"," Jor
【I am waiting for Kio.】",,
i11/j1,Text,," Jor
【史悲说她可以带我离开这里。】"," Jor
【Space said Kio is able to get me out of here.】",,
savepants/f03,Text,,学校后面,Behind school,,
menus/q,Text,,要退出游戏吗？,Quit to the title?,,
d04/lock,Text,," Kio
【门锁上了，打不开。】"," Kio
【It's lock.】",,
